id|fullName|room|room_status|checkInDate|plannedCheckOutDate|dep_paid|bookingSource
13|Tenant UAT G2|G2-002|RESERVED|2026-06-13||0|WEBSITE
1|Andi Aktif Bersih|A|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
2|Bella Tagihan Aktif|B|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
3|Cindy Bukti Diperiksa|C|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
4|Dimas Invoice Problem|D|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
5|Gita Laporan Kamar|G|OCCUPIED|2026-04-01|2026-06-30|300000|WEBSITE
6|Hendra Perpanjangan Pending|H|OCCUPIED|2026-04-01|2026-06-30|300000|WEBSITE
7|Indah Keluar Pending|I|OCCUPIED|2026-04-01|2026-06-30|300000|WEBSITE
8|Joko Checkout Disetujui|J|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
9|Karin Bayar Sebagian|K|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
10|Lani Bukti Ditolak|L|OCCUPIED|2026-04-01|2026-06-30|500000|WEBSITE
11|Maya Maintenance Progress|M|OCCUPIED|2026-04-01|2026-06-30|400000|WEBSITE
(12 rows)
